"time","height","velocity","der(height)","der(velocity)"
4.9,-107.7690500000022,48.06900000000001,-48.06900000000001,9.81
4.92,-108.7323920000022,48.2652,-48.2652,9.81
4.94,-109.6996580000022,48.46140000000001,-48.46140000000001,9.81
4.96,-110.6708480000022,48.6576,-48.6576,9.81
4.98,-111.6459620000022,48.85380000000001,-48.85380000000001,9.81
5,-112.6250000000022,49.05,-49.05,9.81
5.02,-113.6079620000022,49.2462,-49.2462,9.81
5.04,-114.5948480000022,49.44240000000001,-49.44240000000001,9.81
5.06,-115.5856580000022,49.6386,-49.6386,9.81
5.08,-116.5803920000022,49.83480000000001,-49.83480000000001,9.81
5.1,-117.5790500000022,50.03100000000001,-50.03100000000001,9.81
5.12,-118.5816320000022,50.22720000000001,-50.22720000000001,9.81
5.14,-119.5881380000022,50.4234,-50.4234,9.81
5.16,-120.5985680000022,50.61960000000001,-50.61960000000001,9.81
5.18,-121.6129220000022,50.8158,-50.8158,9.81
5.2,-122.6312000000022,51.01200000000001,-51.01200000000001,9.81
5.22,-123.6534020000022,51.20820000000001,-51.20820000000001,9.81
5.24,-124.6795280000023,51.40440000000001,-51.40440000000001,9.81
5.26,-125.7095780000022,51.6006,-51.6006,9.81
5.28,-126.7435520000023,51.79680000000001,-51.79680000000001,9.81
5.3,-127.7814500000022,51.993,-51.993,9.81
5.32,-128.8232720000022,52.18920000000001,-52.18920000000001,9.81
5.34,-129.8690180000023,52.3854,-52.3854,9.81
5.36,-130.9186880000022,52.58160000000001,-52.58160000000001,9.81
5.38,-131.9722820000022,52.7778,-52.7778,9.81
5.4,-133.0298000000023,52.97400000000001,-52.97400000000001,9.81
5.42,-134.0912420000022,53.1702,-53.1702,9.81
5.44,-135.1566080000022,53.36640000000001,-53.36640000000001,9.81
5.46,-136.2258980000022,53.5626,-53.5626,9.81
5.48,-137.2991120000022,53.75880000000001,-53.75880000000001,9.81
5.5,-138.3762500000022,53.95500000000001,-53.95500000000001,9.81
5.52,-139.4573120000022,54.1512,-54.1512,9.81
5.54,-140.5422980000022,54.34740000000001,-54.34740000000001,9.81
5.56,-141.6312080000022,54.5436,-54.5436,9.81
5.58,-142.7240420000022,54.73980000000001,-54.73980000000001,9.81
5.6,-143.8208000000022,54.936,-54.936,9.81
5.62,-144.9214820000022,55.13220000000001,-55.13220000000001,9.81
5.64,-146.0260880000022,55.3284,-55.3284,9.81
5.66,-147.1346180000023,55.52460000000001,-55.52460000000001,9.81
5.68,-148.2470720000022,55.7208,-55.7208,9.81
5.7,-149.3634500000023,55.91700000000001,-55.91700000000001,9.81
5.72,-150.4837520000022,56.11320000000001,-56.11320000000001,9.81
5.74,-151.6079780000023,56.30940000000001,-56.30940000000001,9.81
5.76,-152.7361280000023,56.5056,-56.5056,9.81
5.78,-153.8682020000022,56.70180000000001,-56.70180000000001,9.81
5.8,-155.0042000000023,56.898,-56.898,9.81
5.82,-156.1441220000023,57.09420000000001,-57.09420000000001,9.81
5.84,-157.2879680000023,57.29040000000001,-57.29040000000001,9.81
5.86,-158.4357380000023,57.48660000000001,-57.48660000000001,9.81
5.88,-159.5874320000023,57.6828,-57.6828,9.81
5.9,-160.7430500000023,57.879,-57.879,9.81
5.92,-161.9025920000022,58.0752,-58.0752,9.81
5.94,-163.0660580000023,58.27140000000001,-58.27140000000001,9.81
5.96,-164.2334480000023,58.4676,-58.4676,9.81
5.98,-165.4047620000023,58.66380000000001,-58.66380000000001,9.81
6,-166.5800000000022,58.86000000000001,-58.86000000000001,9.81
6.02,-167.7591620000022,59.0562,-59.0562,9.81
6.04,-168.9422480000023,59.25240000000001,-59.25240000000001,9.81
6.06,-170.1292580000023,59.44860000000001,-59.44860000000001,9.81
6.08,-171.3201920000023,59.64480000000001,-59.64480000000001,9.81
6.1,-172.5150500000022,59.841,-59.841,9.81
6.12,-173.7138320000022,60.03720000000001,-60.03720000000001,9.81
6.14,-174.9165380000022,60.2334,-60.2334,9.81
6.16,-176.1231680000023,60.42960000000001,-60.42960000000001,9.81
6.18,-177.3337220000023,60.62580000000001,-60.62580000000001,9.81
6.2,-178.5482000000023,60.82200000000001,-60.82200000000001,9.81
6.22,-179.7666020000023,61.0182,-61.0182,9.81
6.24,-180.9889280000023,61.2144,-61.2144,9.81
6.26,-182.2151780000023,61.4106,-61.4106,9.81
6.28,-183.4453520000023,61.60680000000001,-61.60680000000001,9.81
6.3,-184.6794500000023,61.803,-61.803,9.81
6.32,-185.9174720000023,61.99920000000001,-61.99920000000001,9.81
6.34,-187.1594180000023,62.19540000000001,-62.19540000000001,9.81
6.36,-188.4052880000023,62.3916,-62.3916,9.81
6.38,-189.6550820000023,62.58780000000001,-62.58780000000001,9.81
6.4,-190.9088000000023,62.78400000000001,-62.78400000000001,9.81
6.42,-192.1664420000023,62.98020000000001,-62.98020000000001,9.81
6.44,-193.4280080000023,63.17640000000002,-63.17640000000002,9.81
6.46,-194.6934980000023,63.37260000000001,-63.37260000000001,9.81
6.48,-195.9629120000023,63.56880000000001,-63.56880000000001,9.81
6.5,-197.2362500000023,63.76500000000001,-63.76500000000001,9.81
6.52,-198.5135120000023,63.96120000000001,-63.96120000000001,9.81
6.54,-199.7946980000023,64.15740000000001,-64.15740000000001,9.81
6.56,-201.0798080000022,64.3536,-64.3536,9.81
6.58,-202.3688420000023,64.5498,-64.5498,9.81
6.6,-203.6618000000022,64.74600000000001,-64.74600000000001,9.81
6.62,-204.9586820000023,64.94220000000001,-64.94220000000001,9.81
6.64,-206.2594880000023,65.1384,-65.1384,9.81
6.66,-207.5642180000023,65.33460000000001,-65.33460000000001,9.81
6.68,-208.8728720000022,65.5308,-65.5308,9.81
6.7,-210.1854500000023,65.727,-65.727,9.81
6.72,-211.5019520000023,65.92320000000001,-65.92320000000001,9.81
6.74,-212.8223780000023,66.11940000000001,-66.11940000000001,9.81
6.76,-214.1467280000023,66.3156,-66.3156,9.81
6.78,-215.4750020000023,66.51180000000001,-66.51180000000001,9.81
6.8,-216.8072000000023,66.708,-66.708,9.81
6.82,-218.1433220000023,66.90420000000002,-66.90420000000002,9.81
6.84,-219.4833680000023,67.10040000000001,-67.10040000000001,9.81
6.86,-220.8273380000023,67.29660000000001,-67.29660000000001,9.81
6.88,-222.1752320000023,67.4928,-67.4928,9.81
6.9,-223.5270500000023,67.68900000000001,-67.68900000000001,9.81
6.92,-224.8827920000023,67.8852,-67.8852,9.81
6.94,-226.2424580000023,68.08140000000002,-68.08140000000002,9.81
6.96,-227.6060480000023,68.27760000000001,-68.27760000000001,9.81
6.98,-228.9735620000023,68.47380000000001,-68.47380000000001,9.81
7,-230.3450000000023,68.67000000000002,-68.67000000000002,9.81
7.02,-231.7203620000023,68.86620000000001,-68.86620000000001,9.81
7.04,-233.0996480000023,69.06240000000001,-69.06240000000001,9.81
7.06,-234.4828580000023,69.2586,-69.2586,9.81
7.08,-235.8699920000023,69.45480000000001,-69.45480000000001,9.81
7.1,-237.2610500000023,69.65100000000001,-69.65100000000001,9.81
7.12,-238.6560320000024,69.84720000000002,-69.84720000000002,9.81
7.14,-240.0549380000023,70.04340000000001,-70.04340000000001,9.81
7.16,-241.4577680000024,70.23960000000001,-70.23960000000001,9.81
7.18,-242.8645220000023,70.4358,-70.4358,9.81
7.2,-244.2752000000023,70.63200000000001,-70.63200000000001,9.81
7.22,-245.6898020000023,70.82820000000001,-70.82820000000001,9.81
7.24,-247.1083280000024,71.02440000000001,-71.02440000000001,9.81
7.26,-248.5307780000023,71.2206,-71.2206,9.81
7.28,-249.9571520000023,71.41680000000001,-71.41680000000001,9.81
7.3,-251.3874500000023,71.613,-71.613,9.81
7.32,-252.8216720000023,71.8092,-71.8092,9.81
7.34,-254.2598180000023,72.00540000000001,-72.00540000000001,9.81
7.36,-255.7018880000023,72.20160000000001,-72.20160000000001,9.81
7.38,-257.1478820000024,72.3978,-72.3978,9.81
7.4,-258.5978000000023,72.59400000000001,-72.59400000000001,9.81
